,advanced_rep1,advanced_rep10,advanced_rep11,advanced_rep12,advanced_rep13,advanced_rep14,advanced_rep15,advanced_rep16,advanced_rep17,advanced_rep18,advanced_rep19,advanced_rep2,advanced_rep20,advanced_rep21,advanced_rep22,advanced_rep23,advanced_rep24,advanced_rep25,advanced_rep26,advanced_rep27,advanced_rep28,advanced_rep29,advanced_rep3,advanced_rep30,advanced_rep31,advanced_rep32,advanced_rep4,advanced_rep5,advanced_rep6,advanced_rep7,advanced_rep8,advanced_rep9,mild_rep1,mild_rep10,mild_rep11,mild_rep12,mild_rep13,mild_rep14,mild_rep15,mild_rep16,mild_rep17,mild_rep18,mild_rep19,mild_rep2,mild_rep20,mild_rep21,mild_rep22,mild_rep23,mild_rep24,mild_rep25,mild_rep26,mild_rep27,mild_rep28,mild_rep29,mild_rep3,mild_rep30,mild_rep31,mild_rep32,mild_rep33,mild_rep34,mild_rep35,mild_rep36,mild_rep37,mild_rep38,mild_rep39,mild_rep4,mild_rep40,mild_rep5,mild_rep6,mild_rep7,mild_rep8,advanced1,advanced2,advanced3,advanced4,regular1,regular2,regular3,regular4,W4_WT3,W4_WT2,W4_WT1,W4_Lep3,W4_Lep2,W4_Lep1,W8_WT3,W8_WT2,W8_WT1,W8_Lep3,W8_Lep2,W8_Lep1,W16_WT3,W16_WT2,W16_WT1,W16_Lep3,W16_Lep2,W16_Lep1,W32_WT1,W32_WT2,W32_WT3,W32_KO1,W32_KO2,W32_KO3,W48_WT1,W48_WT2,W48_WT3,W48_KO1,W48_KO2,W48_KO3,CM1,CM2,CM3,WT1,WT2,WT3
HPN,2.41999579116444,2.37103047892524,2.28141975785506,2.31106241608085,2.2511122873921,2.27184863385703,2.37604542903105,2.20745053253652,2.05248739752635,2.22431604404553,2.38723476600938,2.1831727532943,2.24839793815674,2.45186110603157,2.36346120916303,2.41014319596533,2.39340266975667,2.33461301072866,2.22225881595298,2.4445297856389,2.43707956649818,2.15824298381196,2.23657369411892,2.35586505307245,2.28951587371024,2.20056814073693,2.12139326975194,2.34213739835023,2.14338189761224,2.09171522205568,2.35899649952719,2.49389779841747,2.26999183596931,2.31645331787542,2.5316108409901,2.35191654937457,2.39383895399434,2.49782370794315,2.46319882268599,2.4289953943989,2.42074084618354,2.43968415197182,2.39309107133627,2.45613555481117,2.42358780913156,2.59441867152287,2.36021716913369,2.45668563845149,2.35272460617617,2.37162058441052,2.34422694489929,2.39016537111836,2.48501734204965,2.45344022105322,2.38022516486839,2.56350784668122,2.41986964432206,2.3770159950695,2.4573726689452,2.50439138795062,2.42674199257547,2.37334653175781,2.3917192446575,2.32514341171148,2.37050376451016,2.24963920626993,2.4974159373074,2.52791594019437,2.5384968148683,2.32325046875677,2.31028473407774,1.63375317274234,1.59521139734621,1.60469064564641,1.63689799686691,1.67531113763513,1.75258043899291,1.7324802088121,1.84616047073335,1.44508536922304,1.43444196572267,1.46248090633086,1.55937288482576,1.52615303794649,1.52743726246724,1.53362367725,1.54663321733989,1.48531487307487,1.48474706427292,1.54461244751032,1.51346153757586,1.56539946135827,1.49913198113402,1.54898752514812,1.38755343236255,1.45347760055687,1.27379386169331,1.81079379304591,1.61443726664574,1.72933688522411,1.70686273099099,1.68290264426841,1.7223791764106,1.74014026496838,1.70313808602761,1.7265380623409,1.68731079693313,1.6728050603511,1.61471989242907,1.67456536430278,1.653851866565,1.66323299295122,1.6286417814133,1.57539920916187,1.57623273953434
ACSS3,0.727912083533524,0.979145288916486,0.80724255701501,0.781437064149313,0.967650929878574,0.365338563867239,0.917760146020612,0.87033371323986,1.37244760587214,1.03014733720622,0.916382868552256,0.639295864232391,0.77020849125677,0.760664486552236,0.811818121373079,0.644719406611713,0.971295952016858,0.73429745574588,1.13095861784638,0.720236482005604,0.776260773437129,1.13512937848891,0.992582965508119,0.474404773765067,0.70140058911973,0.776583079782474,1.04452082656356,0.598874960550319,1.03511002699053,1.14558214390945,0.822520875609133,0.98512766343747,0.850561655184351,0.746011366364135,0.922271457145569,1.07897974129585,0.776069900210444,0.764537533518541,0.821012612643497,0.971922764642537,0.924931726322356,0.740633385036006,0.790559406597153,0.855492415070899,0.656975300940882,0.637664769149738,0.471400483374621,0.846612284095556,0.738072642927719,0.933264850915448,0.561937770316662,1.08243502027778,0.720398419633184,1.05120669076199,1.15541626476059,0.631559129958701,0.920938247926315,0.794108084482773,0.702717468102943,0.807680099920449,1.12501760196527,1.08119748584641,0.758973398568266,0.787392930819108,0.939174543383134,1.07586056159283,0.660138265974554,0.666294180159239,0.687470582269922,0.845513079852301,0.954867423001151,0.922919965107272,1.007700953695,0.894976769889809,0.777696124268738,0.710595458943367,0.744488688905825,0.884769587895919,0.752332157429737,1.14521745649527,1.13327079948032,1.18778027126393,1.04750676465688,0.967719420951426,1.058013958832,1.16130114261313,1.21116102454085,1.17545910046375,1.14837345866916,1.06994747496135,1.10482820206385,1.28170246222951,1.22343852135243,1.1969901627978,1.00294125012333,1.0162989190754,0.927502597393747,0.723393800051303,1.09966902031097,1.15170459509019,1.16177250573121,1.1431191356583,1.09741394135669,1.21763227291637,1.25202069699442,1.22188984871514,0.939636794578084,0.985281833480738,1.0531556081511,1.71073301593445,1.76669545387514,1.71015818346212,1.48943082811989,1.89323798029233,1.56045957650453
APOC3,3.92038978295739,4.01132028495377,4.05805341330274,3.89538401494151,4.20969731291947,3.87231605249386,3.98553968944483,3.93058170582047,4.24120482540624,4.1438531243386,3.97790208719316,4.04576035546384,3.91409118663115,4.00917024259622,4.04782031692244,3.93415592974882,4.01152236673469,3.94614308953079,3.98754892155329,3.95731123587481,4.02667877285377,3.88756506754696,4.02909814170359,3.94934036788364,3.8799185766264,3.94749598328581,4.03205414174091,4.01214260842537,4.14406685834981,4.29753428387883,4.06907751983465,4.2116086064448,4.02609636445259,4.02707937994191,3.98049062623517,4.07459681672503,3.96911193067476,3.95671929280039,3.9107574454302,3.92925432853679,4.08040945868971,4.03157263567034,3.94248969122761,4.0464975133653,3.95368911236325,4.26683534388153,3.98702247333513,4.07807676067089,3.91502762580172,3.95779588950703,4.13141298257337,3.89412468792426,4.01375696442083,4.08518936034793,4.11145898546748,4.09336970308546,3.95923451941548,3.97642262690051,3.90990010420715,3.97459639128157,3.98844051808448,3.91928008725088,3.99036956261629,4.07075464206158,4.0113394443368,4.12911754945248,3.90847485885038,3.97517156311893,4.06458757439224,4.11201869747944,3.94858246499048,2.82560118567793,2.80186783534752,2.7712489157893,2.8313252050739,2.84827342962806,2.83694457376409,2.8689411230153,2.90715791193892,2.50660058063664,2.52000952806056,2.49821315155025,2.63259846535967,2.58392438062283,2.8022296213697,2.5820008390486,2.58702419756411,2.51982924318457,2.50651323225145,2.74818469286035,2.648714575085,2.58386654594522,2.53261375298482,2.45779586212196,2.31135880086774,2.40915118459982,2.36734255869328,2.66019556968442,2.5233934672423,2.63094109246602,2.62718914503953,2.58319115506061,2.48181167299414,2.74826766967854,2.59132420676913,2.6462464312242,2.56675206229215,2.54670937033218,2.67129986788112,2.26977569585591,2.36049296234573,1.99811428171535,2.11573910464837,2.14929557879838,2.10451650264928
AMBP,3.65295609082329,3.63710152808828,3.6839866754969,3.58929246271611,3.78024093158599,3.57461797265761,3.53038839485986,3.62465178783016,3.8075462859064,3.7620852920928,3.72972785049609,3.65172654008667,3.58305892539696,3.63528894234378,3.8015258879981,3.66820577705765,3.65236627792092,3.59374186398062,3.60115185153374,3.6333697066828,3.66609646237897,3.56932689675663,3.81155098740372,3.71673177904399,3.57072731714162,3.65542474677012,3.72210514417053,3.64817785651056,3.71711988670205,3.96016571845378,3.64362387316799,3.92475045076968,3.708631375663,3.5991338321696,3.65342406734965,3.65652625684541,3.67308808480742,3.67269109247791,3.62764646837177,3.66846904005806,3.78611833331403,3.72425552078767,3.63906345389709,3.72876166278534,3.65333834530581,3.62905720819095,3.744622293855,3.7056733947935,3.72854103875705,3.65786083084157,3.65585493391856,3.68914279848458,3.67437304348064,3.77644224581389,3.6903290549421,3.82335663677521,3.58717640830987,3.67647008607673,3.71898588812901,3.68417676986771,3.68574717434946,3.58974874771164,3.65141991458003,3.77929822984925,3.73828734462233,3.87890656400691,3.63385813717768,3.72478387141844,3.65668691454561,3.65116767522484,3.69550587384347,2.68458135972469,2.66952356180368,2.69335180129717,2.68466105223941,2.76502467409266,2.76713176916176,2.75513595876482,2.80086241100197,2.7112893918261,2.70156418408085,2.72734278986871,2.77453997795867,2.79923271940297,2.76728765201682,2.74465520036877,2.77209235139151,2.71186052138616,2.82661893494681,2.77210278801678,2.81659877314217,2.77074337078439,2.69146332062998,2.78388085763639,2.81842700090888,2.78551996712167,2.77313956057823,2.88402821393152,2.75002707259099,2.77878790763964,2.80946201793033,2.76229554074404,2.79422974546802,2.89649003074746,2.80431150383283,2.78557564203109,2.88754478991352,2.84508504299073,2.8379507841473,3.21617684938191,3.03314152258163,3.14523488633256,2.9797450299033,3.23203703761976,3.06948350858912
MTM1,-0.291717455189527,-0.396338173648392,-0.237373991682717,-0.209298849344452,-0.76208468128945,-0.387788545841325,-0.352952567955374,-0.3926539971175,-0.595335355228754,-0.274516904664576,-0.353072364279602,-0.454269088792363,-0.224473393100957,-0.381023313049965,-0.526904690635885,-0.619443382558242,-0.362096301621873,-0.378392193838477,-0.759340139842373,-0.430208358420766,-0.377963277681325,-0.44978273668055,-0.432390746204503,-0.438560522309815,-0.335447576580967,-0.292509862941896,-0.431076522259371,-0.26339295795304,-0.439236889800169,-0.437754097359057,-0.45555869229478,-0.724197236134523,-0.354069940209257,-0.789830223750013,-0.317620981488369,-0.708946681834323,-0.287589620003959,-0.295832160192411,-0.260892376933322,-0.32983515868592,-0.409584826174076,-0.355921320380982,-0.382540162157767,-0.359191407321673,-0.257983306220502,-0.486914983673237,-0.42150447521667,-0.259805232546945,-0.296696311313237,-0.309772875452666,-0.579300133976016,-0.432326327993869,-0.415246321055591,-0.295858777610195,-0.439779322094077,-0.469188272600571,-0.259759550061796,-0.339332351285507,-0.366563150341579,-0.374410062372517,-0.377691618074933,-0.126633196965671,-0.383959018400293,-0.373116685896195,-0.416054646058296,-0.465504946182477,-0.423224287033806,-0.368624245276671,-0.419802408621141,-0.41498965404408,-0.35539562483007,0.0407903809918435,-0.0411423374520788,-0.0426433360389087,-0.0748127559585243,-0.238264790344444,-0.0149786497032985,-0.10452454648591,-0.119215379415515,0.593254507623648,0.57231832766875,0.520449820653344,0.566282918152361,0.578502403139996,0.55720007798735,0.603880926060056,0.584554199293973,0.61297692744004,0.569342855598496,0.632708109175058,0.597440475497278,0.632908966612646,0.598125073015953,0.613279793253597,0.48232559682674,0.536978676926724,0.553507953092568,0.651261924209127,0.641822139438866,0.709026865175658,0.63527978066466,0.595758298657586,0.632880868036253,0.650342757690994,0.582485660386717,0.672679886103374,0.578332400929403,0.589146205496749,0.611827959936203,0.664348842427746,0.754537825145999,0.615545267351483,0.671088799136736,0.673763675726762,0.742349830284642
HNF4A,0.100056057370138,-0.049598490440556,-0.141928053302787,-0.142602033244937,0.0654303422017715,0.0489771614118727,-0.0757425770635266,-0.07681002410386,0.0599542063636633,0.121572818309139,0.0825390163005697,0.0711869171862072,0.0232883881789241,-0.0578013439695197,0.0407772426697146,-0.0124234359436632,-0.118542604928211,-0.0538892765093707,-0.0662384342958076,0.185704198102266,-0.0187968528588016,-0.259131390466314,-0.000946354773807227,-0.0291657719039492,-0.015262875860982,-0.0702387412823831,0.0993886369827478,0.00375673798621818,0.208712107714371,0.112251876388453,0.0751832270852476,0.249636398559687,0.143571307559884,-0.0956666484797807,0.237563999998199,0.18953356999085,0.034660584316804,0.0894238597282781,0.0386589739818916,0.135391497709289,0.288588378011631,0.107711715504683,0.0128091374686949,0.191662401129491,-0.0784120513663444,0.116757913108298,-0.175923900630371,-0.0527721604585911,0.131944093908135,-0.090841355565152,0.155765419675245,0.00912876420588881,0.0669421483957234,0.103194908679961,0.00735238518915471,0.0501246222084811,0.078937731074735,-0.030177182610772,0.117112189549055,0.0593084363901922,0.15624717186723,0.0443772363208362,-0.138594035421204,-0.101762047000144,0.169482803391049,0.0868670887258466,0.323908729447372,-0.00397280337169397,0.115594047413624,0.143137772696303,0.266033431351277,2.09239952725544,2.10304644140232,2.13150715371787,2.15372125648373,2.1868313816105,2.2039998253164,2.15658185803071,2.23203145639483,1.88522419053626,1.83995394486368,1.78876305127004,1.89551763068801,1.99256174121707,1.86690612321423,1.94392827991282,1.92691876539277,1.99908103729592,2.01500226860943,1.87481391784144,1.89767365386447,2.03495506338841,1.97981011293192,1.83501566679181,1.85587105684417,1.9279578418011,1.7996176756453,1.89632725941667,2.01858745666345,1.94985247642707,1.98360277367237,1.98355766190808,1.98823902245641,1.90747300958999,1.89479509142485,1.94665232862018,2.01335966034215,1.88181879628897,1.89303753871788,1.68102492314859,1.72354471264068,1.79881636516493,1.64201863502315,1.55744222498065,1.73244366522304
C4BPA,3.2295642867712,3.05717135313559,3.25738861487746,3.20009067238748,3.37012797506337,3.00764475328102,3.29365494313685,3.20490939039678,3.28109718963799,3.50542187893003,3.59495775839067,3.19151265528032,3.08357811824897,3.23245416423885,3.26896633754631,3.30569074028385,3.17813359323012,3.31460277532937,3.44762340036197,3.28986892718466,3.28913652355704,3.35080234432421,3.35939763173038,3.49817724954087,3.16014654914935,3.22773881119436,3.4847556096043,3.09850648799328,3.47070794806498,3.274283165338,3.16974827905278,3.35250633748254,3.35756590838821,3.33774634588661,3.26831130156581,3.17673206821717,3.10123686260402,3.11561563691248,3.32789610810787,3.09842066211392,3.3810012141619,3.27926387077228,3.26026319339199,3.41220071116718,3.35165029069632,3.07269430411309,3.44117330858214,3.17114880524959,3.26265146554039,3.21776837933315,2.97826411820407,3.37881647639857,3.1690584894946,3.24977960158986,3.42999904002989,3.52969428616673,3.16058188372455,3.24831189618127,3.36794217520156,3.35039409260368,3.11405457903676,3.15179295399377,3.2552910769749,3.52631094415301,3.14100262325539,3.44344580688596,3.23775158235072,3.31541493492849,3.21028703043905,3.29084584947837,3.0427803731827,2.02780935818486,1.88466023282568,2.02585543539928,2.04555491344555,2.03378727232179,2.03671774260339,2.03674153012919,2.0082599575199,1.98098735708891,1.98029091383127,1.97408146303151,1.88926689480785,1.88742382555719,1.95726337405629,2.30898764352826,2.12860253817626,2.06292225060767,2.10850102013167,2.09944648065015,2.14616956285757,2.10498873441036,2.12179159813769,2.39326322384297,2.06276098701341,2.18250118961833,2.19256030802131,2.08395800681823,2.06672322213158,2.11654023789337,2.19920236587821,2.10108050379527,2.07322559641081,2.4688533574516,2.31352979553235,2.18834785821476,2.47341573029215,2.40367542154282,2.47759628751559,2.32854510666377,2.33989600863352,2.32080746350245,2.40995660307406,2.27243625482194,2.21618625322052
